Процентили по параметрам:
boar_id (25%): 50.75
boar_id (50%): 100.50
boar_id (75%): 150.25
boar_id (10%): 20.90
boar_id (90%): 180.10
boar_id (95%): 190.05
boar_id (5%): 10.95
age_years (25%): 3.00
age_years (50%): 4.70
age_years (75%): 6.00
age_years (10%): 2.09
age_years (90%): 7.00
age_years (95%): 8.11
age_years (5%): 1.40
weight_kg (25%): 50.48
weight_kg (50%): 65.85
weight_kg (75%): 85.98
weight_kg (10%): 38.30
weight_kg (90%): 106.94
weight_kg (95%): 123.13
weight_kg (5%): 31.65
length_cm (25%): 130.32
length_cm (50%): 150.10
length_cm (75%): 164.80
length_cm (10%): 116.99
length_cm (90%): 185.52
length_cm (95%): 195.75
length_cm (5%): 107.38
shoulder_height_cm (25%): 72.35
shoulder_height_cm (50%): 80.40
shoulder_height_cm (75%): 87.33
shoulder_height_cm (10%): 64.02
shoulder_height_cm (90%): 94.85
shoulder_height_cm (95%): 98.22
shoulder_height_cm (5%): 59.09
tusk_length_cm (25%): 7.28
tusk_length_cm (50%): 9.50
tusk_length_cm (75%): 13.40
tusk_length_cm (10%): 3.40
tusk_length_cm (90%): 17.71
tusk_length_cm (95%): 19.01
tusk_length_cm (5%): 1.99
litter_size (25%): 0.00
litter_size (50%): 5.00
litter_size (75%): 6.00
litter_size (10%): 0.00
litter_size (90%): 7.00
litter_size (95%): 7.45
litter_size (5%): 0.00
health_score (25%): 63.75
health_score (50%): 75.00
health_score (75%): 88.00
health_score (10%): 56.00
health_score (90%): 99.00
health_score (95%): 100.00
health_score (5%): 47.00
territory_ha (25%): 2.90
territory_ha (50%): 4.10
territory_ha (75%): 5.70
territory_ha (10%): 1.69
territory_ha (90%): 6.90
territory_ha (95%): 7.60
territory_ha (5%): 0.80
