boar_id,gender,age_years,weight_kg,length_cm,shoulder_height_cm,tusk_length_cm,litter_size,health_score,territory_ha
1,Male,3.0,106.4,117.7,63.0,8.9,,72,5.1
2,Female,5.0,59.6,174.5,95.3,2.0,6.0,67,3.7
3,Female,5.1,61.1,118.4,77.0,15.4,6.0,88,5.6
4,Female,2.9,47.6,210.0,91.4,12.5,0.0,92,8.2
5,Male,8.6,84.5,158.8,82.1,9.8,,77,3.9
6,Male,5.5,77.8,150.2,83.5,19.0,,100,2.2
7,Male,1.9,93.1,121.0,84.8,14.1,,54,6.5
8,Female,5.9,47.4,164.6,83.4,6.5,3.0,72,3.9
9,Female,2.4,60.2,128.9,85.7,0.0,6.0,62,0.8
10,Female,6.2,92.4,148.4,93.9,18.3,0.0,41,6.0
11,Male,7.0,82.3,210.0,80.4,3.3,,74,3.1
12,Female,2.7,49.1,142.3,86.5,0.6,0.0,73,4.0
13,Female,6.6,76.6,177.2,76.9,12.6,0.0,100,4.9
14,Male,5.4,75.0,125.3,95.3,23.3,,86,4.6
15,Male,6.3,90.6,144.0,69.9,21.7,,57,5.7
16,Male,8.7,85.3,194.6,99.6,19.0,,100,3.3
17,Male,4.0,87.4,127.4,77.5,16.0,,97,5.3
18,Female,2.8,48.7,195.7,60.8,11.8,5.0,85,3.7
19,Male,2.5,85.6,164.8,79.5,16.4,,71,5.8
20,Male,2.7,97.4,129.3,69.8,9.7,,58,5.5
21,Female,4.3,60.9,162.7,88.1,8.5,5.0,68,2.2
22,Male,5.3,109.0,172.2,70.2,10.6,,95,6.5
23,Male,5.1,138.8,162.4,72.6,7.0,,100,3.1
24,Male,6.3,65.8,101.0,55.3,9.5,,100,5.9
25,Male,4.5,106.8,124.6,72.6,4.1,,66,5.0
26,Female,7.7,68.9,138.1,50.0,7.6,4.0,55,8.1
27,Male,3.9,139.7,142.9,59.0,6.7,,78,3.7
28,Male,10.5,64.8,162.4,87.1,3.0,,43,3.5
29,Female,5.9,61.1,150.0,87.4,8.8,4.0,81,4.2
30,Male,2.6,70.0,107.6,83.1,19.8,,72,3.6
31,Female,2.1,66.4,155.6,66.4,12.1,5.0,67,5.9
32,Male,5.6,71.9,162.1,77.4,2.8,,46,0.8
33,Male,4.0,66.0,160.7,78.0,8.0,,84,2.0
34,Female,6.1,59.5,175.3,64.1,12.2,9.0,65,2.0
35,Female,5.5,46.7,168.3,96.0,3.6,6.0,54,6.2
36,Female,4.3,39.7,157.9,88.5,7.0,4.0,23,7.8
37,Male,2.6,108.8,143.0,75.3,18.6,,75,4.0
38,Male,1.2,70.6,98.5,78.3,5.8,,100,3.8
39,Female,3.5,56.3,157.0,80.5,8.5,3.0,100,4.3
40,Male,6.4,97.3,150.8,53.5,0.9,,67,6.6
41,Male,5.0,52.0,152.6,75.0,8.7,,64,2.3
42,Male,1.8,130.8,109.3,69.8,15.6,,83,4.7
43,Male,4.9,114.5,114.7,66.0,8.7,,57,6.2
44,Female,5.3,45.8,174.5,74.6,10.0,6.0,80,5.3
45,Male,2.6,42.2,143.9,99.6,9.4,,89,4.6
46,Female,4.8,37.4,164.1,85.7,10.5,7.0,97,6.3
47,Male,4.6,82.1,145.8,71.1,14.0,,73,0.8
48,Female,2.0,61.8,145.8,84.9,14.1,6.0,71,5.6
